"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","4.735835","0","5"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","7","1","3.246156","0","7"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","9","9","1","10.236143","0","9"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.965671","0","2"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","9","9","1","7.709030","0","9"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial.PointSetOverlaidComponentMaterial","0","8","9","1","0.000000","0","9"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","0","20","20","2","10.325487","0","20"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","84","96","2","95.361343","0","96"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","0","10","12","2","13.532767","0","12"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","16.725933","0","16"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","0","7","7","1","2.853574","0","7"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","21.530231","0","25"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/MediaFrameworkUtilities/M_DefaultMedia.M_DefaultMedia","0","5","5","1","3.419280","0","5"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","27","27","1","17.036077","0","27"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","0","7","7","1","2.764092","0","7"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","11.974674","0","14"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","35","6","32.552658","0","35"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.171657","0","2"
"/MediaFrameworkUtilities/M_BaseMediaBundle.M_BaseMediaBundle","0","5","5","1","3.502914","0","5"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","0","10","10","1","5.409671","0","10"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","165","126","6","82.444763","0","126"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","135","114","6","39.444702","0","114"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","165","180","6","104.781372","0","180"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","54","0","2","0.000000","0","0"
"Globals","49","19102","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","233","260","6","149.135895","0","260"
"/InterchangeAssets/gltf/M_Default.M_Default","49","233","260","6","95.253899","0","260"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","221","236","6","84.264977","0","236"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","221","236","6","76.267784","0","161"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","76","76","2","91.539093","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","257","272","6","178.791626","0","214"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","81","86","6","32.120441","0","63"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","49","7","7","1","4.179873","0","7"
"/MediaFrameworkUtilities/M_BaseMediaBundle.M_BaseMediaBundle","49","10","10","1","4.837207","0","10"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","108","120","2","34.448635","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","44","48","1","22.908453","0","48"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","44","48","1","22.348238","0","48"
"/MediaFrameworkUtilities/M_DefaultMedia.M_DefaultMedia","49","10","10","1","5.303228","0","10"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","49","23","24","1","0.000000","69","168"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","48","48","1","13.277629","0","48"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","104","104","1","0.000000","0","104"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","50","50","1","0.000000","0","50"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","49","10","10","1","1.168868","0","10"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","49","26","26","2","4.750726","0","26"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","49","13","13","1","1.653962","0","13"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","49","10","10","1","1.267325","0","10"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","49","20","22","2","11.459189","0","22"
"/Game/Toeic_Room/Materials/M_Base02.M_Base02","49","11","12","1","0.000000","0","12"
